RawFile 	study_accession 	Organism  	Stage 	Section	Other
ERR4436666_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436666_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436667_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436667_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436668_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436668_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436669_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436669_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436670_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436670_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436671_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436671_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436672_1.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436672_2.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436673_1.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436673_2.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436674_1.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436674_2.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436675_1.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436675_2.fastq.gz	E-MTAB-9426	Human	CS18	Dorsal Cup	
ERR4436676_1.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436676_2.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436677_1.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436677_2.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436678_1.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436678_2.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436679_1.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436679_2.fastq.gz	E-MTAB-9426	Human	CS18	OFM	
ERR4436696_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436696_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436697_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436697_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436698_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436698_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436699_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436699_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436700_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436700_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436701_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436701_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436702_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436702_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436703_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436703_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436704_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436704_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436705_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436705_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436706_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
